segment,n_trips,mae_sec,rmse_log
weekday,106652,195.4230956099859,0.32214566607815454
weekend,29416,193.7474526264501,0.3318821213478919
rush_hour,39232,206.3755275256093,0.33129309897878784
non_rush_hour,96836,190.4768305544546,0.32138853375064413
