feature_set,n_features,rmse_log,rmse_sec,mae_sec
full,16,0.33596408397597083,783.3701606310098,202.27001889304762
distance_coordinates,6,0.39264092121024385,826.6964911760875,256.8536167971293
distance_time,9,0.39344555676521736,802.0902381573618,240.63165333564544
coordinates_only,4,0.4125569194737963,830.6653648241572,264.60992470239086
distance_only,2,0.43942825325038065,842.4813627013108,284.99093222560884
time_only,7,0.733060926567914,1033.8372322923667,475.67159607875925
metadata_only,3,0.742251142363514,1052.131958628262,482.06229440000385
