varied_param,value,max_depth,learning_rate,n_estimators,rmse_log,rmse_sec,mae_sec
learning_rate,0.05,8,0.05,200,0.3343527534670371,781.8914400329,200.79247709605613
learning_rate,0.1,8,0.1,200,0.3242753210124752,778.900355792987,195.0608450146682
learning_rate,0.2,8,0.2,200,0.3184201715898136,778.8344606568078,193.76256189307904
max_depth,6.0,6,0.1,200,0.33660680532549286,782.535646183877,202.6154755203974
max_depth,8.0,8,0.1,200,0.3242753210124752,778.900355792987,195.0608450146682
max_depth,10.0,10,0.1,200,0.31498542541477403,776.2512962541157,190.81238836905283
n_estimators,100.0,8,0.1,100,0.33507053344777726,782.3710244223499,201.23845573973887
n_estimators,200.0,8,0.1,200,0.3242753210124752,778.900355792987,195.0608450146682
n_estimators,300.0,8,0.1,300,0.31817850638763784,777.4886529609483,192.29727194200387
